TIMESTAMP,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN
2020-01-22,AIAENG,EQ,1800.0,1889.0,1725.5,1737.8,1735.6,1789.85,140861,255521427.75,10211,INE212H01026
2020-01-22,AIONJSW,EQ,14.5,14.6,13.9,14.2,14.4,14.4,183535,2629397.3,469,INE743C01021
2020-01-22,AIRAN,EQ,12.15,12.7,11.5,12.7,12.7,12.1,23887,296102.85,110,INE645W01026
2020-01-22,AIROLAM,SM,24.05,24.05,24.05,24.05,24.05,26.5,3000,72150.0,1,INE801L01010
2020-01-22,AJANTPHARM,EQ,1180.0,1200.0,1177.05,1193.5,1187.05,1179.85,87215,104093303.65,7951,INE031B01049
2020-01-22,AJMERA,EQ,152.2,153.5,147.0,148.0,147.35,150.85,42616,6377621.1,1578,INE298G01027
2020-01-22,AKASH,BE,84.0,84.0,83.0,83.0,83.0,84.8,1200,100368.75,7,INE737W01013
2020-01-22,AKG,SM,33.55,33.55,33.5,33.5,33.5,32.75,8000,268200.0,2,INE00Y801016
2020-01-22,AKSHARCHEM,EQ,251.35,252.1,243.0,250.45,250.0,251.3,5086,1265115.95,210,INE542B01011
2020-01-22,AKSHOPTFBR,EQ,9.5,9.6,9.35,9.6,9.6,9.15,242707,2315013.4,323,INE523B01011
2020-01-22,AKZOINDIA,EQ,2016.95,2045.0,2006.0,2011.1,2010.0,2019.05,7749,15653488.4,3597,INE133A01011
2020-01-22,ALANKIT,EQ,14.05,14.1,13.55,13.8,13.85,13.75,154796,2149886.05,395,INE914E01040
2020-01-22,ALBERTDAVD,EQ,454.0,454.0,448.0,450.1,448.5,453.6,3834,1727440.2,635,INE155C01010
2020-01-22,ALBK,EQ,18.65,18.75,18.5,18.55,18.5,18.65,371931,6916837.5,1257,INE428A01015
2020-01-22,ALCHEM,BE,1.55,1.6,1.5,1.6,1.6,1.55,39325,59148.7,156,INE964B01033
2020-01-22,ALEMBICLTD,EQ,56.9,57.5,55.35,55.55,55.35,56.55,140165,7895881.0,3048,INE426A01027
2020-01-22,ALICON,EQ,438.5,438.5,426.0,428.95,429.0,437.9,1394,602775.85,216,INE062D01024
2020-01-22,ALKALI,EQ,44.4,44.4,42.95,43.2,43.05,44.45,7576,329273.65,125,INE773I01017
2020-01-22,ALKEM,EQ,2360.1,2370.0,2342.85,2360.85,2359.0,2356.85,47447,112087462.15,6165,INE540L01014
2020-01-22,ALKYLAMINE,EQ,1295.35,1300.0,1284.15,1293.3,1300.0,1298.3,18722,24288561.05,2861,INE150B01021
2020-01-22,ALLCARGO,EQ,104.0,104.5,102.3,102.95,103.1,102.1,69662,7198592.9,2119,INE418H01029
2020-01-22,ALLSEC,EQ,315.05,319.4,301.1,316.5,317.0,315.5,2800,881184.85,203,INE835G01018
2020-01-22,ALMONDZ,EQ,13.45,13.45,13.4,13.45,13.45,12.85,7146,96088.7,16,INE326B01027
2020-01-22,ALOKTEXT,BE,2.9,2.9,2.9,2.9,2.9,2.8,743819,2157075.1,366,INE270A01011
2020-01-22,ALPA,EQ,20.5,22.0,19.25,20.65,20.6,19.85,254291,5307225.4,907,INE385I01010
2020-01-22,ALPHAGEO,EQ,224.95,229.95,220.0,221.85,222.9,223.55,18650,4197997.65,966,INE137C01018
2020-01-22,ALPSINDUS,BE,1.4,1.4,1.4,1.4,1.4,1.45,8960,12544.0,19,INE093B01015
2020-01-22,AMARAJABAT,EQ,777.7,792.9,769.3,783.8,786.4,775.1,1001579,784601038.1,30047,INE885A01032
2020-01-22,AMBER,EQ,1321.1,1348.0,1317.5,1342.45,1338.05,1320.55,34015,45525718.4,2589,INE371P01015
2020-01-22,AMBIKCO,EQ,836.85,877.0,833.45,835.45,840.0,836.85,18734,15943491.5,1191,INE540G01014
2020-01-22,AMBUJACEM,EQ,208.9,212.2,208.3,210.35,210.0,207.6,3780055,797303494.3,29406,INE079A01024
2020-01-22,AMDIND,EQ,17.1,20.3,17.1,19.75,19.1,16.95,496466,9860491.35,2386,INE005I01014
2020-01-22,AMJLAND,EQ,21.9,21.9,20.5,20.7,20.7,20.8,7113,149399.2,73,INE606A01024
2020-01-22,AMJUMBO,SM,12.7,13.5,12.7,12.7,12.7,13.35,32000,412800.0,4,INE749Y01014
2020-01-22,AMRUTANJAN,EQ,495.0,500.0,476.1,479.5,480.0,491.0,32652,15887128.25,2957,INE098F01031
2020-01-22,ANANTRAJ,EQ,37.1,37.6,35.35,36.1,36.0,36.85,427592,15471386.65,5435,INE242C01024
2020-01-22,ANDHRABANK,EQ,17.1,17.3,16.9,16.9,17.0,17.05,335110,5693755.3,2216,INE434A01013
2020-01-22,ANDHRACEMT,EQ,2.05,2.1,2.0,2.0,2.05,2.05,30166,61312.2,58,INE666E01012
2020-01-22,ANDHRSUGAR,EQ,344.1,352.45,344.1,346.55,346.5,344.0,39790,13849002.1,1964,INE715B01013
